user,text,clean_text
loladeantonia26,@JoeBiden @BarackObama Obama led the most corrupt admin in the history of America! He weaponized our intel agencies… https://t.co/2eJJSOifbB,"['joebiden', 'barackobama', 'obama', 'led', 'corrupt', 'admin', 'history', 'america', 'weaponized', 'intel', 'agency']"
RobertS64534727,@JoeBiden @BarackObama Teachers Union much?? #dementiajoe #obamagate,"['joebiden', 'barackobama', 'teacher', 'union', 'much', 'dementiajoe', 'obamacare']"
LavineKAG,"@JoeBiden @BarackObama Ugh. The cheesiest, poorest quality, fake AF ad I’ve ever seen. And the conference phone mag… https://t.co/2Vhq5rf3X1","['joebiden', 'barackobama', 'gh', 'cheese', 'poorest', 'quality', 'fake', 'af', 'ad', 'ever', 'seen', 'conference', 'phone', 'mag']"
gregchapman23,"@JoeBiden @BarackObama Joe Biden,”I’m the proud husband of ugh ugh you know the thing.”","['joebiden', 'barackobama', 'joe', 'biden', 'proud', 'husband', 'gh', 'gh', 'know', 'thing']"
plainsimpletrth,@JoeBiden @BarackObama Where in the world is Perez? He is the biggest loser the Dems have ever had! Name one single… https://t.co/fsZFWYl2Eh,"['joebiden', 'barackobama', 'world', 'perez', 'biggest', 'loser', 'dems', 'ever', 'name', 'one', 'single']"
vonpilk,@JoeBiden @BarackObama Go get em Joe. At 71 years old I have never seen such lack of leadership in this country. Yo… https://t.co/ROCpZZLdK0,"['joebiden', 'barackobama', 'go', 'get', 'em', 'joe', '71', 'year', 'old', 'never', 'seen', 'lack', 'leadership', 'country', 'yo']"
JohnDoe52680131,@JoeBiden @BarackObama Staged.,"['joebiden', 'barackobama', 'staged']"
MicahInLex,@JoeBiden @BarackObama Oh my goodness!! A war criminal and the guy responsible for unfathomable amounts of unjust b… https://t.co/uAaaufoOXr,"['joebiden', 'barackobama', 'oh', 'goodness', 'war', 'criminal', 'guy', 'responsible', 'unfathomable', 'amount', 'unjust', 'b']"
fl_trump2020,@JoeBiden @BarackObama Meanwhile back in Ukraine and those criminal indictments...,"['joebiden', 'barackobama', 'meanwhile', 'back', 'ukraine', 'criminal', 'indictment']"
Max11089,@JoeBiden @BarackObama The black community is overly represented in covid deaths.   The democrats and big tech are… https://t.co/9BdXVBJGrp,"['joebiden', 'barackobama', 'black', 'community', 'overly', 'represented', 'covid', 'death', 'democrat', 'big', 'tech']"
mrTTTT2U,@JoeBiden @BarackObama https://t.co/r4Xbf5Czax,"['joebiden', 'barackobama']"
JohnDoe52680131,"@JoeBiden @BarackObama Going after the teacher vote now with the patronizing, grandfather vibe. After least you can… https://t.co/uGrSgUs9lS","['joebiden', 'barackobama', 'going', 'teacher', 'vote', 'patronizing', 'grandfather', 'vibe', 'least']"
kickass_sushi,@JoeBiden @BarackObama https://t.co/in7AF4ZQ21,"['joebiden', 'barackobama']"
twt2023,@JoeBiden @BarackObama These two idiots are the most corrupt people in politics.  Together for 8 years they did not… https://t.co/QYo1CoJNjZ,"['joebiden', 'barackobama', 'two', 'idiot', 'corrupt', 'people', 'politics', 'together', '8', 'year']"
Linda_Ruth1,"@JoeBiden @BarackObama This is awesome, but my question to you is such: both of you saw this entire russian thing h… https://t.co/7gvzTfQydf","['joebiden', 'barackobama', 'awesome', 'question', 'saw', 'entire', 'russian', 'thing', 'h']"
OriginalChele,@JoeBiden @BarackObama That's how leaders do it,"['joebiden', 'barackobama', 'leader']"
lizag63200698,@JoeBiden @BarackObama Of course teachers don’t want to go back to work they get paid for sitting home,"['joebiden', 'barackobama', 'course', 'teacher', 'want', 'go', 'back', 'work', 'get', 'paid', 'sitting', 'home']"
